"iso 3","country id","country","trade value export","trade value import","trade value delta","year"
"ken","afken","Kenya",637,640,-3,1995
"zaf","afzaf","South Africa",7946,1879287,-1871341,1995
"chn","aschn","China",163410938,1453249,161957689,1995
"cyp","ascyp","Cyprus",1845,12019,-10174,1995
"hkg","ashkg","Hong Kong",3421010,6416825,-2995815,1995
"ind","asind","India",2038390,311912,1726478,1995
"jpn","asjpn","Japan",33957354,129747142,-95789788,1995
"kor","askor","South Korea",39333,19327339,-19288006,1995
"mys","asmys","Malaysia",38400,8786872,-8748472,1995
"prk","asprk","North Korea",658120,113500,544620,1995
"sau","assau","Saudi Arabia",15361,2728886,-2713525,1995
"sgp","assgp","Singapore",854591,6628355,-5773764,1995
"tha","astha","Thailand",19037,1383866,-1364829,1995
"twn","astwn","Chinese Taipei",4351901,10622836,-6270935,1995
"aut","euaut","Austria",10022540,4819461,5203079,1995
"bgr","eubgr","Bulgaria",52519,20614,31905,1995
"blx","eublx","Belgium-Luxembourg",2359340,5815150,-3455810,1995
"che","euche","Switzerland",546579,1686379,-1139800,1995
"cze","eucze","Czechia",34938,2132193,-2097255,1995
"deu","eudeu","Germany",4329752,38552587,-34222835,1995
"dnk","eudnk","Denmark",32715,116549,-83834,1995
"esp","euesp","Spain",212231,2991579,-2779348,1995
"est","euest","Estonia",16555939,5537213,11018726,1995
"fin","eufin","Finland",15526,684231,-668705,1995
"fra","eufra","France",116650582,31999217,84651365,1995
"gbr","eugbr","United Kingdom",16305176,16108831,196345,1995
"grc","eugrc","Greece",45443,204227,-158784,1995
"hun","euhun","Hungary",282080,2204831,-1922751,1995
"irl","euirl","Ireland",137144,392128,-254984,1995
"ita","euita","Italy",1946168,6097928,-4151760,1995
"ltu","eultu","Lithuania",29699,326457,-296758,1995
"nld","eunld","Netherlands",1709304,21357626,-19648322,1995
"nor","eunor","Norway",809232,277123,532109,1995
"pol","eupol","Poland",6927,744031,-737104,1995
"prt","euprt","Portugal",1575,350496,-348921,1995
"rus","eurus","Russia",11052324,1085892,9966432,1995
"svn","eusvn","Slovenia",62796,118639,-55843,1995
"swe","euswe","Sweden",74671,1550501,-1475830,1995
"ukr","euukr","Ukraine",132000,3601,128399,1995
"can","nacan","Canada",1028090,6785779,-5757689,1995
"usa","nausa","United States",56647275,100164272,-43516997,1995
"aus","ocaus","Australia",238841,912807,-673966,1995
"bra","sabra","Brazil",12263,3631547,-3619284,1995
"egy","afegy","Egypt",353972,1365209,-1011237,1996
"zaf","afzaf","South Africa",51655,2924826,-2873171,1996
"are","asare","United Arab Emirates",3832,15624,-11792,1996
"chn","aschn","China",213809718,2266145,211543573,1996
"cyp","ascyp","Cyprus",3171,9093,-5922,1996
"hkg","ashkg","Hong Kong",2852254,5075703,-2223449,1996
"ind","asind","India",3232657,1137840,2094817,1996
"jpn","asjpn","Japan",34779815,126412963,-91633148,1996
"kaz","askaz","Kazakhstan",1544268,921027,623241,1996
"kgz","askgz","Kyrgyzstan",1063690,44740,1018950,1996
"kor","askor","South Korea",40880,26681046,-26640166,1996
"mys","asmys","Malaysia",129145,6392429,-6263284,1996
"prk","asprk","North Korea",111684,78500,33184,1996
"sau","assau","Saudi Arabia",22689,532442,-509753,1996
"sgp","assgp","Singapore",1181375,4903434,-3722059,1996
"tha","astha","Thailand",10861,1744092,-1733231,1996
"tur","astur","Turkey",19006,1173127,-1154121,1996
"twn","astwn","Chinese Taipei",5937702,11934009,-5996307,1996
"aut","euaut","Austria",8953940,5271881,3682059,1996
"blr","eublr","Belarus",100600,31304,69296,1996
"blx","eublx","Belgium-Luxembourg",1817518,5130575,-3313057,1996
"che","euche","Switzerland",410923,1478329,-1067406,1996
"cze","eucze","Czechia",27783,1928923,-1901140,1996
"deu","eudeu","Germany",4800272,45640694,-40840422,1996
"dnk","eudnk","Denmark",21580,79020,-57440,1996
"esp","euesp","Spain",355316,3162288,-2806972,1996
"est","euest","Estonia",13326036,6987872,6338164,1996
"fin","eufin","Finland",956039,861535,94503.9999999999,1996
"fra","eufra","France",80025672,43779259,36246413,1996
"gbr","eugbr","United Kingdom",20258703,13813843,6444860,1996
"hrv","euhrv","Croatia",792,47946,-47154,1996
"hun","euhun","Hungary",20346,3426201,-3405855,1996
"irl","euirl","Ireland",2054004,601223,1452781,1996
"ita","euita","Italy",649152,5189436,-4540284,1996
"ltu","eultu","Lithuania",133602,460003,-326401,1996
"nld","eunld","Netherlands",521884,18459969,-17938085,1996
"nor","eunor","Norway",6404105,506039,5898066,1996
"pol","eupol","Poland",91425,812822,-721397,1996
"prt","euprt","Portugal",6695,425662,-418967,1996
"rus","eurus","Russia",11093474,1002017,10091457,1996
"swe","euswe","Sweden",71899,481977,-410078,1996
"ukr","euukr","Ukraine",486972,79989,406983,1996
"can","nacan","Canada",1139727,7042161,-5902434,1996
"mex","namex","Mexico",1431,979703,-978272,1996
"usa","nausa","United States",58710245,106308677,-47598432,1996
"aus","ocaus","Australia",26382,1542787,-1516405,1996
"arg","saarg","Argentina",2879,295206,-292327,1996
"bra","sabra","Brazil",87966,4430836,-4342870,1996
"civ","afciv","Cote d'Ivoire",4661,5937,-1276,1997
"mar","afmar","Morocco",92789,347985,-255196,1997
"zaf","afzaf","South Africa",51837,4569447,-4517610,1997
"are","asare","United Arab Emirates",2676,7924,-5248,1997
"chn","aschn","China",209178021,2353847,206824174,1997
"hkg","ashkg","Hong Kong",5635660,6781502,-1145842,1997
"idn","asidn","Indonesia",65316,525939,-460623,1997
